time,MQ136,MQ138,MQ137,MQ4,MQ9,MQ8,MQ3_10,MQ5,MQ2,MQ135,MQ6,MQ3_1
00:00:01,30.21,28.63,42.45,345.54,120.59,133.13,30.44,288.94,130.27,138.64,131.09,15.46
00:00:03,30.24,28.65,42.48,345.54,120.78,133.21,30.57,289.28,130.27,138.72,131.09,15.46
00:00:05,30.27,28.66,42.51,346.02,120.91,133.13,30.67,288.94,130.27,138.64,131.01,15.46
00:00:07,30.30,28.69,42.53,346.02,120.65,132.98,30.72,288.94,130.20,138.64,130.94,15.46
00:00:09,30.32,28.70,42.52,345.54,120.71,132.75,30.73,288.61,130.13,138.31,130.42,15.44
00:00:11,30.34,28.71,42.50,345.07,120.46,132.67,30.64,287.94,130.05,137.90,129.61,15.37
00:00:13,30.35,28.71,42.46,344.13,120.08,132.60,30.41,287.28,129.90,137.49,128.45,15.23
00:00:15,30.34,28.71,42.41,343.19,120.08,132.67,30.07,286.62,129.83,137.08,127.17,15.07
00:00:17,30.33,28.70,42.37,342.26,120.01,132.67,29.70,284.98,129.68,136.68,125.70,14.90
00:00:19,30.30,28.69,42.35,341.79,119.89,132.60,29.32,283.35,129.47,136.27,124.34,14.73
00:00:21,30.27,28.69,42.33,341.33,119.51,132.37,28.97,281.75,129.25,136.03,122.93,14.58
00:00:23,30.24,28.67,42.32,340.41,119.26,132.07,28.63,279.53,129.03,135.72,121.68,14.44
00:00:25,30.21,28.67,42.30,339.49,119.01,131.69,28.34,277.66,128.74,135.32,120.46,14.32
00:00:27,30.18,28.66,42.27,338.57,118.63,131.24,28.08,276.11,128.52,135.08,119.38,14.22
00:00:29,30.13,28.65,42.21,336.76,118.45,130.64,27.85,274.28,128.24,134.77,118.32,14.13
00:00:31,30.08,28.63,42.14,334.97,117.71,129.98,27.65,272.48,127.95,134.53,117.34,14.05
00:00:33,30.01,28.60,42.04,332.75,117.28,129.17,27.47,270.99,127.74,134.30,116.44,13.98
00:00:35,29.94,28.56,41.92,330.56,116.86,128.24,27.31,269.22,127.45,134.06,115.60,13.92
00:00:37,29.85,28.51,41.76,327.54,116.02,127.24,27.16,267.77,127.24,133.83,114.78,13.86
00:00:39,29.74,28.45,41.57,324.16,115.43,126.26,27.03,266.33,126.96,133.60,114.08,13.81
00:00:41,29.62,28.37,41.34,320.43,114.90,125.22,26.91,265.19,126.75,133.36,113.40,13.77
00:00:43,29.49,28.29,41.08,316.79,114.20,124.20,26.81,264.06,126.54,133.21,112.83,13.74
00:00:45,29.36,28.20,40.82,313.22,113.40,123.26,26.71,262.66,126.40,133.06,112.26,13.71
00:00:47,29.21,28.10,40.54,309.73,112.88,122.34,26.62,261.82,126.19,132.90,111.76,13.68
00:00:49,29.06,27.99,40.25,305.95,112.38,121.49,26.54,260.72,125.98,132.75,111.32,13.65
00:00:51,28.91,27.89,39.96,302.61,111.71,120.65,26.47,259.90,125.84,132.60,110.93,13.63
00:00:53,28.75,27.77,39.68,299.35,111.10,119.89,26.41,258.81,125.70,132.45,110.55,13.60
00:00:55,28.59,27.67,39.41,296.50,110.50,119.20,26.34,258.00,125.50,132.37,110.22,13.59
00:00:57,28.43,27.56,39.14,293.37,109.95,118.51,26.29,257.19,125.36,132.22,109.90,13.56
00:00:59,28.27,27.45,38.87,290.63,109.47,117.89,26.24,256.66,125.22,132.14,109.63,13.55
00:01:01,28.12,27.34,38.63,288.28,109.04,117.34,26.19,255.86,125.09,131.99,109.36,13.53
00:01:03,27.97,27.23,38.40,285.63,108.57,116.74,26.14,255.33,124.95,131.92,109.15,13.52
00:01:05,27.82,27.13,38.17,283.35,108.36,116.26,26.10,254.80,124.88,131.76,108.94,13.51
00:01:07,27.68,27.04,37.95,281.43,108.04,115.84,26.06,254.28,124.74,131.69,108.73,13.50
00:01:09,27.55,26.94,37.75,279.53,107.57,115.43,26.03,253.76,124.61,131.61,108.57,13.48
00:01:11,27.42,26.85,37.56,277.66,107.11,115.02,25.99,253.24,124.54,131.46,108.41,13.48
00:01:13,27.29,26.76,37.38,275.81,106.80,114.67,25.96,252.72,124.47,131.39,108.25,13.47
00:01:15,27.17,26.67,37.20,274.28,106.50,114.32,25.93,252.20,124.34,131.31,108.09,13.46
00:01:17,27.05,26.59,37.05,272.78,106.39,114.03,25.90,251.94,124.27,131.24,107.99,13.45
00:01:19,26.94,26.51,36.89,271.58,106.14,113.74,25.87,251.43,124.20,131.16,107.89,13.45
00:01:21,26.84,26.44,36.75,270.10,105.89,113.51,25.85,251.17,124.07,131.09,107.78,13.44
00:01:23,26.74,26.37,36.63,268.93,105.69,113.28,25.83,250.66,124.00,131.01,107.68,13.43
00:01:25,26.64,26.30,36.50,268.06,105.44,113.05,25.80,250.41,123.86,130.94,107.57,13.42
00:01:27,26.55,26.24,36.38,266.90,105.24,112.88,25.78,250.15,123.86,130.94,107.52,13.42
00:01:29,26.46,26.17,36.28,266.04,104.94,112.71,25.76,249.90,123.80,130.87,107.42,13.41
