time,MQ136,MQ138,MQ137,MQ4,MQ9,MQ8,MQ3_10,MQ5,MQ2,MQ135,MQ6,MQ3_1
00:00:01,29.39,28.06,41.18,328.83,116.44,129.03,29.73,282.07,128.52,134.61,128.52,15.26
00:00:03,29.42,28.08,41.21,329.26,116.62,129.10,29.86,282.39,128.60,134.61,128.52,15.27
00:00:05,29.45,28.09,41.24,329.26,116.56,129.03,29.95,282.39,128.60,134.61,128.52,15.27
00:00:07,29.48,28.11,41.25,329.26,116.26,128.88,30.01,282.39,128.60,134.53,128.38,15.27
00:00:09,29.50,28.13,41.25,328.83,116.08,128.74,30.04,282.07,128.52,134.30,127.67,15.25
00:00:11,29.52,28.13,41.22,327.97,115.90,128.60,29.97,281.75,128.45,133.91,126.26,15.19
00:00:13,29.53,28.14,41.17,327.12,115.78,128.67,29.76,281.43,128.45,133.36,124.34,15.06
00:00:15,29.53,28.13,41.12,326.27,115.66,128.74,29.43,280.16,128.31,132.83,121.94,14.90
00:00:17,29.52,28.12,41.07,325.84,115.84,128.88,29.05,278.59,128.17,132.29,119.38,14.72
00:00:19,29.49,28.12,41.04,325.42,115.49,128.88,28.65,276.11,127.95,131.69,116.74,14.54
00:00:21,29.46,28.11,41.04,325.42,115.43,128.81,28.25,273.68,127.59,131.16,114.03,14.38
00:00:23,29.43,28.10,41.03,325.00,115.37,128.67,27.87,270.40,127.24,130.57,111.43,14.22
00:00:25,29.41,28.10,41.03,324.16,115.25,128.31,27.52,267.19,126.75,129.98,108.88,14.08
00:00:27,29.37,28.08,41.00,323.32,115.07,127.81,27.19,264.06,126.26,129.39,106.55,13.96
00:00:29,29.34,28.07,40.96,322.08,114.43,127.17,26.89,260.44,125.77,128.88,104.30,13.85
00:00:31,29.29,28.04,40.89,320.02,113.97,126.19,26.61,257.19,125.22,128.31,102.23,13.74
00:00:33,29.23,28.01,40.78,317.99,113.34,125.02,26.36,254.02,124.68,127.81,100.33,13.65
00:00:35,29.15,27.95,40.63,314.80,112.60,123.66,26.12,250.92,124.13,127.31,98.62,13.57
00:00:37,29.05,27.89,40.43,310.89,111.76,122.07,25.91,248.14,123.66,126.82,97.05,13.50
00:00:39,28.94,27.82,40.17,306.32,110.82,120.40,25.72,245.42,123.20,126.33,95.61,13.43
00:00:41,28.80,27.72,39.85,301.15,109.74,118.57,25.53,242.76,122.73,125.91,94.29,13.38
00:00:43,28.64,27.60,39.48,295.45,108.62,116.74,25.36,240.15,122.27,125.50,93.08,13.31
00:00:45,28.45,27.45,39.05,289.62,107.73,114.96,25.19,237.82,121.81,125.09,91.97,13.26
00:00:47,28.22,27.27,38.57,283.35,106.44,113.17,25.04,235.54,121.36,124.74,90.97,13.21
00:00:49,27.97,27.09,38.07,277.35,105.29,111.48,24.89,233.75,120.97,124.34,90.06,13.17
00:00:51,27.71,26.89,37.56,271.58,104.20,109.90,24.75,231.76,120.59,124.00,89.20,13.12
00:00:53,27.43,26.69,37.04,265.76,103.13,108.36,24.63,229.80,120.27,123.73,88.43,13.09
00:00:55,27.13,26.47,36.54,260.17,102.14,106.96,24.51,228.30,119.89,123.40,87.75,13.05
00:00:57,26.84,26.26,36.03,255.07,101.20,105.69,24.39,226.82,119.57,123.13,87.11,13.01
00:00:59,26.54,26.04,35.55,250.41,100.28,104.45,24.28,225.36,119.26,122.80,86.55,12.98
00:01:01,26.25,25.83,35.09,245.91,99.47,103.33,24.17,223.91,119.01,122.53,85.99,12.95
00:01:03,25.95,25.62,34.64,241.56,98.84,102.28,24.07,222.89,118.70,122.27,85.51,12.92
00:01:05,25.66,25.41,34.22,237.59,97.96,101.34,23.97,221.47,118.39,122.01,85.00,12.89
00:01:07,25.38,25.21,33.82,233.97,97.13,100.46,23.88,220.47,118.14,121.75,84.59,12.86
00:01:09,25.11,25.01,33.44,230.67,96.45,99.65,23.79,219.48,117.89,121.55,84.19,12.84
00:01:11,24.85,24.83,33.10,227.66,95.82,98.93,23.70,218.50,117.65,121.36,83.83,12.81
00:01:13,24.60,24.65,32.77,224.73,95.23,98.27,23.63,217.52,117.47,121.17,83.50,12.79
00:01:15,24.37,24.48,32.48,222.08,94.70,97.65,23.55,216.75,117.22,120.97,83.20,12.77
00:01:17,24.14,24.31,32.18,219.68,94.33,97.09,23.47,215.98,116.98,120.78,82.88,12.75
00:01:19,23.92,24.15,31.91,217.52,93.80,96.58,23.39,215.22,116.80,120.59,82.59,12.72
00:01:21,23.71,23.99,31.65,215.41,93.20,96.07,23.32,214.46,116.62,120.40,82.30,12.70
00:01:23,23.51,23.84,31.41,213.52,92.72,95.61,23.25,213.71,116.38,120.27,82.05,12.68
00:01:25,23.32,23.70,31.19,211.66,92.32,95.19,23.18,213.15,116.20,120.08,81.79,12.66
00:01:27,23.13,23.56,30.97,210.02,91.89,94.78,23.11,212.40,116.02,119.89,81.54,12.64
00:01:29,22.96,23.43,30.77,208.57,91.51,94.45,23.05,211.85,115.84,119.76,81.32,12.62
00:01:31,22.79,23.30,30.59,207.15,91.12,94.08,22.99,211.29,115.66,119.57,81.10,12.61
00:01:33,22.63,23.18,30.41,205.74,90.89,93.80,22.92,210.74,115.55,119.38,80.89,12.58
00:01:35,22.48,23.06,30.24,204.53,90.51,93.52,22.86,210.20,115.37,119.20,80.70,12.56
00:01:37,22.34,22.95,30.09,203.33,90.32,93.24,22.81,209.65,115.19,119.07,80.52,12.55
00:01:39,22.21,22.85,29.95,202.31,89.91,93.00,22.76,209.29,115.07,118.88,80.33,12.54
00:01:41,22.07,22.74,29.81,201.30,89.57,92.72,22.69,208.75,114.90,118.70,80.15,12.52
00:01:43,21.95,22.64,29.68,200.30,89.28,92.52,22.64,208.21,114.78,118.57,79.97,12.50
00:01:45,21.82,22.55,29.55,199.47,88.98,92.29,22.59,207.86,114.61,118.39,79.78,12.49
00:01:47,21.71,22.45,29.43,198.65,88.73,92.09,22.54,207.33,114.43,118.26,79.63,12.47
00:01:49,21.60,22.38,29.32,197.84,88.47,91.89,22.48,206.97,114.32,118.14,79.48,12.45
00:01:51,21.49,22.29,29.21,197.03,88.22,91.70,22.43,206.62,114.20,118.02,79.33,12.44
00:01:53,21.39,22.21,29.11,196.23,87.96,91.51,22.38,206.09,114.03,117.83,79.15,12.43
00:01:55,21.29,22.13,29.01,195.60,87.71,91.35,22.33,205.74,113.91,117.71,79.03,12.41
00:01:57,21.20,22.05,28.92,195.12,87.50,91.20,22.28,205.39,113.80,117.65,78.89,12.40
00:01:59,21.11,21.98,28.83,194.49,87.29,91.05,22.24,205.05,113.68,117.47,78.77,12.39
00:02:01,21.02,21.91,28.75,193.87,87.07,90.89,22.19,204.70,113.57,117.34,78.59,12.37
00:02:03,20.94,21.84,28.66,193.25,86.90,90.74,22.14,204.36,113.45,117.22,78.47,12.35
00:02:05,20.85,21.76,28.58,192.78,86.69,90.63,22.09,204.01,113.34,117.10,78.36,12.34
00:02:07,20.77,21.70,28.51,192.17,86.48,90.47,22.04,203.67,113.22,116.98,78.21,12.33
00:02:09,20.70,21.64,28.43,191.71,86.30,90.36,22.00,203.50,113.11,116.86,78.09,12.31
00:02:11,20.62,21.58,28.36,191.25,86.16,90.21,21.96,203.16,113.00,116.68,77.98,12.30
00:02:13,20.55,21.52,28.29,190.80,86.09,90.10,21.92,202.82,112.88,116.62,77.89,12.29
00:02:15,20.49,21.46,28.23,190.34,85.78,89.98,21.87,202.48,112.77,116.50,77.77,12.28
00:02:17,20.41,21.40,28.16,189.89,85.58,89.87,21.83,202.31,112.71,116.38,77.66,12.27
00:02:19,20.34,21.34,28.09,189.45,85.47,89.76,21.79,201.97,112.60,116.26,77.57,12.25
00:02:21,20.28,21.28,28.03,189.15,85.41,89.65,21.75,201.80,112.49,116.20,77.46,12.24
00:02:23,20.22,21.23,27.97,188.70,85.17,89.54,21.71,201.47,112.38,116.08,77.37,12.23
00:02:25,20.16,21.18,27.91,188.26,84.93,89.43,21.67,201.30,112.32,116.02,77.26,12.21
00:02:27,20.10,21.13,27.86,187.96,84.76,89.31,21.63,200.96,112.21,115.84,77.17,12.20
