time,MQ136,MQ138,MQ137,MQ4,MQ9,MQ8,MQ3_10,MQ5,MQ2,MQ135,MQ6,MQ3_1
00:00:01,31.46,29.07,44.59,367.17,124.81,137.57,29.95,293.71,130.94,144.50,130.27,15.18
00:00:03,31.48,29.09,44.62,367.17,124.88,137.57,30.06,293.71,130.94,144.50,130.27,15.19
00:00:05,31.52,29.11,44.65,367.17,124.88,137.49,30.12,293.37,130.87,144.67,130.27,15.18
00:00:07,31.54,29.13,44.69,367.17,124.74,137.24,30.17,293.02,130.79,144.58,130.05,15.18
00:00:09,31.56,29.15,44.69,366.64,124.54,136.92,30.16,292.33,130.64,144.32,129.54,15.16
00:00:11,31.57,29.16,44.65,365.58,124.27,136.76,30.03,291.99,130.49,143.78,128.52,15.06
00:00:13,31.57,29.16,44.59,364.52,124.00,136.60,29.75,290.97,130.42,143.25,127.24,14.92
00:00:15,31.56,29.16,44.52,362.95,123.80,136.44,29.37,289.95,130.27,142.73,125.77,14.74
00:00:17,31.52,29.14,44.45,361.91,123.60,136.27,28.97,288.28,130.05,142.38,124.27,14.57
00:00:19,31.47,29.12,44.38,360.87,123.33,136.03,28.58,286.29,129.83,142.12,122.80,14.40
00:00:21,31.43,29.10,44.33,359.33,123.06,135.64,28.22,284.33,129.54,141.68,121.42,14.25
00:00:23,31.37,29.08,44.28,358.31,122.73,135.16,27.89,282.07,129.32,141.25,120.08,14.12
00:00:25,31.32,29.06,44.21,356.79,122.27,134.69,27.61,280.16,129.03,140.91,118.88,14.00
00:00:27,31.27,29.04,44.13,354.79,121.88,133.98,27.36,277.97,128.74,140.65,117.77,13.90
00:00:29,31.20,29.01,44.03,352.80,121.36,133.29,27.13,276.42,128.45,140.31,116.74,13.81
00:00:31,31.12,28.96,43.90,350.35,120.78,132.45,26.94,274.59,128.17,139.98,115.78,13.74
00:00:33,31.02,28.92,43.75,347.45,120.14,131.46,26.77,272.78,127.88,139.72,114.84,13.68
00:00:35,30.90,28.85,43.56,344.13,119.45,130.42,26.61,270.99,127.59,139.39,114.03,13.62
00:00:37,30.78,28.78,43.33,340.41,118.70,129.32,26.47,269.52,127.31,139.14,113.22,13.57
00:00:39,30.64,28.69,43.08,336.31,117.96,128.17,26.34,268.06,127.10,138.89,112.55,13.52
00:00:41,30.49,28.60,42.79,332.31,117.16,127.10,26.24,266.62,126.89,138.64,111.87,13.48
00:00:43,30.33,28.50,42.49,327.97,116.44,125.98,26.13,265.47,126.61,138.47,111.26,13.45
00:00:45,30.17,28.38,42.16,323.74,115.72,124.95,26.04,264.06,126.40,138.39,110.71,13.42
00:00:47,29.99,28.26,41.83,319.61,115.02,124.00,25.97,262.94,126.26,138.14,110.22,13.40
00:00:49,29.81,28.14,41.51,315.59,114.32,123.06,25.89,262.10,126.05,137.98,109.79,13.38
00:00:51,29.63,28.02,41.18,312.05,113.62,122.21,25.83,260.99,125.84,137.73,109.36,13.35
00:00:53,29.45,27.89,40.85,308.21,113.00,121.36,25.75,260.17,125.70,137.65,108.99,13.33
00:00:55,29.26,27.76,40.53,304.83,112.43,120.59,25.70,259.08,125.50,137.49,108.62,13.31
00:00:57,29.08,27.64,40.22,301.52,111.87,119.89,25.64,258.27,125.36,137.33,108.30,13.30
00:00:59,28.90,27.52,39.92,298.63,111.32,119.20,25.59,257.46,125.15,137.24,107.99,13.28
00:01:01,28.72,27.40,39.63,295.80,110.82,118.57,25.54,256.66,125.02,137.16,107.73,13.27
00:01:03,28.55,27.28,39.36,293.02,110.33,117.96,25.49,256.13,124.88,136.92,107.52,13.25
00:01:05,28.37,27.17,39.10,290.63,109.90,117.40,25.46,255.33,124.74,136.76,107.26,13.24
00:01:07,28.22,27.06,38.86,287.94,109.47,116.92,25.42,254.80,124.61,136.68,107.06,13.23
00:01:09,28.06,26.95,38.62,285.96,109.10,116.44,25.38,254.28,124.47,136.52,106.90,13.21
00:01:11,27.91,26.85,38.40,283.68,108.73,116.02,25.34,253.76,124.34,136.44,106.70,13.21
00:01:13,27.76,26.74,38.19,281.75,108.36,115.66,25.31,253.24,124.20,136.27,106.60,13.20
00:01:15,27.63,26.64,38.00,280.16,108.04,115.31,25.28,252.72,124.13,136.19,106.44,13.19
00:01:17,27.49,26.55,37.81,278.59,107.73,114.96,25.24,252.20,124.00,136.03,106.29,13.18
00:01:19,27.37,26.46,37.64,276.73,107.47,114.61,25.22,251.69,123.93,135.95,106.19,13.17
00:01:21,27.24,26.37,37.47,275.50,107.16,114.37,25.19,251.43,123.80,135.87,106.09,13.17
00:01:23,27.13,26.29,37.32,273.98,106.90,114.08,25.17,250.92,123.73,135.72,105.99,13.16
00:01:25,27.01,26.21,37.18,272.78,106.65,113.85,25.14,250.66,123.66,135.64,105.89,13.15
00:01:27,26.91,26.13,37.04,271.58,106.39,113.62,25.12,250.41,123.53,135.56,105.84,13.15
00:01:29,26.81,26.06,36.91,270.69,106.19,113.45,25.10,249.90,123.46,135.40,105.79,13.15
00:01:31,26.71,26.00,36.80,269.52,105.99,113.28,25.08,249.65,123.40,135.24,105.74,13.14
00:01:33,26.62,25.93,36.69,268.64,105.84,113.11,25.05,249.40,123.33,135.16,105.64,13.13
00:01:35,26.54,25.87,36.59,267.77,105.64,112.94,25.04,249.14,123.26,135.08,105.59,13.13
00:01:37,26.46,25.82,36.50,267.19,105.49,112.83,25.02,248.89,123.20,135.00,105.54,13.12
00:01:39,26.37,25.75,36.40,266.33,105.29,112.66,25.00,248.64,123.13,134.84,105.49,13.12
00:01:41,26.29,25.70,36.30,265.47,105.14,112.55,24.98,248.39,123.06,134.77,105.44,13.11
00:01:43,26.22,25.65,36.22,264.91,104.94,112.49,24.97,248.14,123.00,134.69,105.44,13.11
00:01:45,26.15,25.60,36.15,264.34,104.79,112.38,24.95,247.89,122.93,134.61,105.39,13.10
00:01:47,26.08,25.55,36.07,263.78,104.69,112.26,24.94,247.64,122.86,134.61,105.34,13.10
00:01:49,26.02,25.51,36.01,263.22,104.54,112.21,24.93,247.39,122.86,134.53,105.34,13.10
00:01:51,25.96,25.46,35.94,262.66,104.40,112.10,24.91,247.39,122.80,134.45,105.29,13.09
00:01:53,25.90,25.42,35.88,262.10,104.30,112.04,24.89,247.14,122.73,134.37,105.29,13.09
00:01:55,25.85,25.38,35.82,261.55,104.15,111.98,24.88,246.90,122.67,134.30,105.24,13.09
00:01:57,25.79,25.34,35.76,261.27,104.01,111.87,24.87,246.90,122.60,134.30,105.24,13.09
00:01:59,25.74,25.30,35.70,260.72,103.91,111.82,24.86,246.65,122.53,134.22,105.19,13.08
00:02:01,25.68,25.27,35.65,260.44,103.81,111.76,24.84,246.40,122.53,134.14,105.19,13.08
00:02:03,25.63,25.23,35.60,259.90,103.71,111.71,24.83,246.40,122.47,134.06,105.14,13.07
00:02:05,25.58,25.19,35.54,259.62,103.62,111.65,24.82,246.16,122.40,133.98,105.14,13.07
00:02:07,25.54,25.16,35.50,259.35,103.52,111.60,24.81,246.16,122.40,133.91,105.14,13.07
00:02:09,25.49,25.13,35.46,259.08,103.42,111.54,24.79,245.91,122.27,133.91,105.09,13.06
00:02:11,25.45,25.10,35.40,258.54,103.28,111.54,24.78,245.66,122.27,133.83,105.09,13.06
00:02:13,25.40,25.07,35.37,258.27,103.23,111.48,24.78,245.66,122.21,133.75,105.09,13.06
00:02:15,25.36,25.04,35.33,258.00,103.13,111.43,24.77,245.42,122.21,133.67,105.09,13.06
00:02:17,25.32,25.01,35.29,257.73,103.04,111.43,24.76,245.42,122.14,133.60,105.09,13.06
00:02:19,25.29,24.98,35.26,257.46,102.99,111.37,24.75,245.42,122.14,133.60,105.09,13.06
00:02:21,25.25,24.96,35.23,257.46,102.90,111.37,24.74,245.18,122.07,133.52,105.09,13.06
00:02:23,25.21,24.93,35.19,257.19,102.85,111.32,24.73,245.18,122.01,133.44,105.09,13.06
00:02:25,25.18,24.90,35.16,256.93,102.75,111.32,24.73,244.93,122.01,133.44,105.09,13.05
00:02:27,25.14,24.88,35.13,256.66,102.66,111.26,24.72,244.93,121.94,133.36,105.09,13.05
00:02:29,25.11,24.84,35.09,256.39,102.61,111.26,24.71,244.93,121.94,133.29,105.09,13.05
