time,MQ136,MQ138,MQ137,MQ4,MQ9,MQ8,MQ3_10,MQ5,MQ2,MQ135,MQ6,MQ3_1
00:00:01,30.51,28.95,42.99,351.82,122.14,134.45,30.24,290.29,130.42,140.91,130.35,15.34
00:00:03,30.54,28.96,43.01,352.31,122.21,134.45,30.36,290.29,130.49,141.00,130.35,15.35
00:00:05,30.56,28.97,43.05,352.31,122.21,134.37,30.43,290.29,130.42,141.00,130.27,15.34
00:00:07,30.59,29.00,43.06,352.31,122.07,134.14,30.48,289.95,130.35,140.74,130.13,15.34
00:00:09,30.61,29.01,43.07,351.82,121.88,133.98,30.49,289.28,130.27,140.48,129.68,15.33
00:00:11,30.62,29.01,43.05,350.84,121.68,133.91,30.40,288.94,130.20,140.06,128.74,15.25
00:00:13,30.64,29.00,43.00,349.86,121.49,133.83,30.15,288.28,130.05,139.64,127.52,15.11
00:00:15,30.64,28.98,42.96,349.38,121.29,133.83,29.81,287.28,129.98,139.14,126.19,14.95
00:00:17,30.61,28.96,42.91,348.41,121.10,133.83,29.43,285.63,129.76,138.80,124.68,14.78
00:00:19,30.58,28.94,42.88,347.45,120.97,133.67,29.05,284.00,129.61,138.47,123.26,14.61
00:00:21,30.54,28.92,42.85,346.97,120.71,133.44,28.69,282.07,129.39,138.06,121.81,14.46
00:00:23,30.50,28.91,42.82,346.02,120.46,133.13,28.36,280.16,129.10,137.73,120.52,14.33
00:00:25,30.47,28.90,42.80,345.07,120.14,132.75,28.07,278.28,128.81,137.41,119.26,14.20
00:00:27,30.43,28.88,42.75,343.66,119.70,132.22,27.80,276.11,128.52,137.16,118.08,14.10
00:00:29,30.38,28.85,42.69,341.79,119.26,131.54,27.57,274.28,128.24,136.84,116.98,14.01
00:00:31,30.32,28.83,42.61,339.95,118.82,130.87,27.37,272.48,127.95,136.60,116.02,13.93
00:00:33,30.24,28.78,42.49,337.66,118.26,129.98,27.19,270.99,127.74,136.35,115.07,13.86
00:00:35,30.16,28.73,42.36,334.97,117.71,129.03,27.03,269.22,127.45,136.11,114.26,13.81
00:00:37,30.06,28.67,42.19,331.87,117.10,128.02,26.88,267.77,127.24,135.87,113.45,13.75
